Date,Day,Year,Tourn,Rnd,Team_1,Team_2,Team_1_Score,Team_2_Score,Team_1_Tries,Team_2_Tries,Team_1_Points,Team_2_Points,Venue,Neut.
20 Jan 1973,Sat,1973,TO,,IRE,NZL,10,10,1,2,2,2,"Lansdowne Rd, Dublin",N
20 Jan 1973,Sat,1973,5N,,WAL,ENG,25,9,5,0,5,0,Cardiff Arms Park,N
03 Feb 1973,Sat,1973,5N,,SCO,WAL,10,9,2,0,4,1,"Murrayfield, Edinburgh",N
10 Feb 1973,Sat,1973,TO,,FRA,NZL,13,6,2,0,4,0,"Parc des Princes, Paris",N
10 Feb 1973,Sat,1973,5N,,IRE,ENG,18,9,2,1,4,0,"Lansdowne Rd, Dublin",N
24 Feb 1973,Sat,1973,5N,,SCO,IRE,19,14,1,2,4,1,"Murrayfield, Edinburgh",N
24 Feb 1973,Sat,1973,5N,,ENG,FRA,14,6,2,1,4,0,"Twickenham, London",N
10 Mar 1973,Sat,1973,5N,,WAL,IRE,16,12,2,1,4,1,Cardiff Arms Park,N
17 Mar 1973,Sat,1973,5N CA,,ENG,SCO,20,13,4,2,5,0,"Twickenham, London",N
24 Mar 1973,Sat,1973,5N,,FRA,WAL,12,3,0,0,4,0,"Parc des Princes, Paris",N
14 Apr 1973,Sat,1973,5N,,IRE,FRA,6,4,0,1,4,1,"Lansdowne Rd, Dublin",N
23 Jun 1973,Sat,1973,TO,,AUS,TON,30,12,5,0,5,0,"Cricket Ground, Sydney",N
30 Jun 1973,Sat,1973,TO,,AUS,TON,11,16,2,0,1,4,"Ballymore, Brisbane",N
08 Sep 1973,Sat,1973,TO,1,ARG,ROM,15,9,1,0,4,1,"FC Oeste, Buenos Aires",N
15 Sep 1973,Sat,1973,ST,,NZL,ENG,10,16,2,3,1,4,"Eden Park, Auckland",N
15 Sep 1973,Sat,1973,TO,2,ARG,ROM,24,3,5,0,5,0,"FC Oeste, Buenos Aires",N
27 Oct 1973,Sat,1973,TO,,FRA,JAP,30,18,6,3,5,0,"Stade Municipal, Bordeaux",N
10 Nov 1973,Sat,1973,TO,,WAL,AUS,24,0,3,0,4,0,Cardiff Arms Park,N
10 Nov 1973,Sat,1973,AI,,IRE,ARG,21,8,4,2,5,0,"Lansdowne Rd, Dublin",N
11 Nov 1973,Sun,1973,,,FRA,ROM,7,6,1,0,4,1,Valence d'Agen,N
17 Nov 1973,Sat,1973,TO,,ENG,AUS,20,3,3,0,4,0,"Twickenham, London",N
19 Jan 1974,Sat,1974,5N,,WAL,SCO,6,0,1,0,4,1,Cardiff Arms Park,N
19 Jan 1974,Sat,1974,5N,,FRA,IRE,9,6,1,0,4,1,"Parc des Princes, Paris",N
02 Feb 1974,Sat,1974,5N CA,,SCO,ENG,16,14,2,2,4,1,"Murrayfield, Edinburgh",N
02 Feb 1974,Sat,1974,5N,,IRE,WAL,9,9,0,1,2,2,"Lansdowne Rd, Dublin",N
16 Feb 1974,Sat,1974,5N,,WAL,FRA,16,16,1,1,2,2,Cardiff Arms Park,N
