Date,Open,High,Low,Close
2014-08-08,560.478,567.132,557.286,565.66
2014-08-11,566.873,567.37,562.905,564.775
2014-08-12,561.433,562.805,557.813,559.653
2014-08-13,564.208,571.856,562.656,571.637
2014-08-14,573.029,574.74,567.758,571.508
2014-08-15,574.7,576.212,567.4,570.344
2014-08-18,572.96,581.314,572.85,578.977
2014-08-19,581.801,584.128,580.806,583.651
2014-08-20,582.676,583.492,579.384,581.294
2014-08-21,580.627,581.304,577.962,580.18
2014-08-22,580.399,582.036,577.465,579.374
2014-08-25,581.522,581.801,575.834,577.027
2014-08-26,578.081,578.618,573.427,574.7
2014-08-27,574.113,575.327,566.985,567.878
2014-08-28,566.445,570.115,563.999,566.087
2014-08-29,568.206,568.912,563.968,568.474
2014-09-02,568.723,574.67,568.066,574.173
2014-09-03,576.828,579.802,571.856,574.78
2014-09-04,576.828,582.795,576.053,578.797
2014-09-05,580.786,583.342,578.768,582.875
2014-09-08,583.392,588.534,583.094,586.495
2014-09-09,585.68,585.779,576.828,577.833
2014-09-10,578.32,580.309,573.785,579.911
2014-09-11,577.186,578.628,573.109,578.171
2014-09-12,577.823,578.459,571.319,572.472
2014-09-15,569.807,571.806,565.103,569.966
2014-09-16,569.628,578.32,569.528,576.779
2014-09-17,576.838,584.307,575.61,581.572
2014-09-18,583.79,586.316,581.801,586.048
2014-09-19,588.265,593.218,586.276,592.82
2014-09-22,590.573,590.701,580.269,584.158
2014-09-23,583.641,583.641,577.823,577.952
2014-09-24,578.28,586.406,577.345,584.775
2014-09-25,584.337,584.765,571.04,571.915
2014-09-26,572.91,576.082,571.518,573.944
2014-09-29,568.623,575.028,568.047,573.208
2014-09-30,573.775,576.679,569.717,574.203
2014-10-01,572.86,574.422,563.909,565.162
2014-10-02,564.208,568.783,560.24,566.963
2014-10-03,569.916,574.068,569.369,572.134
2014-10-06,575.635,577.823,571.299,574.193
2014-10-07,571.259,572.124,560.657,560.657
2014-10-08,562.477,570.742,554.441,569.369
2014-10-09,568.057,568.365,556.003,557.813
2014-10-10,554.67,562.04,541.075,541.512
2014-10-13,542.01,546.495,530.185,530.294
2014-10-14,535.953,544.198,530.254,534.998
2014-10-15,528.106,529.886,515.466,527.132
2014-10-16,516.162,526.535,512.184,521.642
2014-10-17,524.367,528.076,505.749,508.375
2014-10-20,506.664,518.907,505.321,517.992
2014-10-21,522.318,523.909,516.271,523.661
2014-10-22,526.992,536.848,525.908,529.797
2014-10-23,536.371,544.228,532.92,541.005
2014-10-24,541.383,541.9,532.86,536.828
2014-10-27,534.093,541.433,534.093,537.813
2014-10-28,540.031,545.978,538.658,545.898
2014-10-29,546.992,551.159,543.989,546.326
2014-10-30,545.948,549.777,540.538,547.301
2014-10-31,556.291,556.51,551.716,556.023
2014-11-03,552.462,554.849,550.205,552.184
2014-11-04,549.976,552.462,546.296,551.08
2014-11-05,553.755,553.755,541.075,542.935
2014-11-06,542.517,543.894,538.012,539.076
2014-11-07,543.223,543.223,535.724,538.052
2014-11-10,538.499,546.585,538.061,544.496
2014-11-11,545.491,548.922,543.313,547.281
2014-11-12,547.38,547.45,542.189,544.317
2014-11-13,546.793,546.793,540.508,542.398
2014-11-14,543.69,543.69,539.185,541.423
2014-11-17,540.607,540.816,531.141,533.576
2014-11-18,534.561,538.976,531.249,532.104
2014-11-19,532.074,535.297,527.181,534.053
2014-11-20,528.345,532.184,528.176,531.905
2014-11-21,538.648,539.175,533.626,534.561
2014-11-24,534.71,539.732,532.691,536.321
2014-11-25,536.052,541.005,535.657,538.121
2014-11-26,537.922,538.589,534.105,537.415
2014-11-28,537.664,539.036,533.666,538.867
2014-12-01,535.953,538.449,528.952,530.881
2014-12-02,530.593,532.572,526.903,530.831
2014-12-03,528.534,533.065,526.366,528.414
2014-12-04,528.255,534.402,525.699,534.372
2014-12-05,528.096,529.976,521.413,522.388
2014-12-08,524.247,528.096,520.926,524.098
2014-12-09,519.285,531.269,517.654,530.453
2014-12-10,530.165,533.397,522.686,523.183
2014-12-11,524.914,531.0,524.218,525.451
2014-12-12,520.647,525.61,515.824,515.824
2014-12-15,519.881,520.239,510.463,510.99
2014-12-16,508.763,510.244,486.326,492.681
2014-12-17,494.282,504.227,494.093,502.129
2014-12-18,510.145,511.06,501.94,508.305
2014-12-19,508.713,514.889,504.139,513.526
2014-12-22,513.258,523.581,513.258,522.0
2014-12-23,524.118,531.637,523.412,527.688
2014-12-24,527.609,528.851,524.138,525.878
2014-12-26,525.878,531.328,524.426,531.11
2014-12-29,529.28,532.552,527.113,527.43
2014-12-30,525.202,528.245,524.247,527.519
2014-12-31,528.345,529.688,522.925,523.521
2015-01-02,526.115,528.362,521.232,521.938
2015-01-05,520.396,521.46,510.252,511.058
2015-01-06,512.181,513.35,498.308,499.213
2015-01-07,504.225,504.468,496.915,498.358
2015-01-08,495.265,500.724,488.313,499.929
2015-01-09,501.997,502.157,492.082,493.454
2015-01-12,492.231,493.262,484.892,489.854
2015-01-13,496.11,500.227,489.695,493.464
2015-01-14,491.943,500.476,490.302,498.129
2015-01-15,502.803,502.912,495.036,499.044
2015-01-16,497.273,505.409,497.264,505.299
2015-01-20,508.203,509.695,503.247,504.126
2015-01-21,504.474,516.438,503.43,515.205
2015-01-22,518.626,533.395,516.856,531.465
2015-01-23,532.659,539.203,530.083,536.995
2015-01-26,535.583,536.05,526.771,532.281
2015-01-27,527.07,527.796,515.354,515.792
2015-01-28,519.919,520.128,507.209,507.209
2015-01-29,508.203,508.293,498.457,507.865
2015-01-30,513.037,536.915,512.699,531.595
2015-02-02,528.82,530.083,515.712,525.588
2015-02-03,525.11,530.481,520.396,526.344
2015-02-04,526.344,529.757,518.417,519.899
2015-02-05,520.923,525.608,519.233,524.693
2015-02-06,524.752,534.26,523.529,528.094
2015-02-09,525.11,529.088,523.141,524.941
2015-02-10,526.403,534.757,524.036,534.001
2015-02-11,532.37,535.503,530.459,533.037
2015-02-12,534.31,541.838,531.747,539.959
2015-02-13,540.376,546.9,540.157,546.005
2015-02-17,543.837,546.99,538.129,539.869
2015-02-18,538.437,542.505,534.568,536.746
2015-02-19,535.098,540.14,535.068,539.901
2015-02-20,540.157,540.774,532.868,536.0
2015-02-23,533.116,533.503,526.513,528.999
2015-02-24,527.099,533.852,525.359,533.156
2015-02-25,532.967,543.231,532.515,540.893
2015-02-26,540.237,553.096,538.536,552.44
2015-02-27,551.207,561.619,549.874,555.344
2015-03-02,557.462,569.019,555.692,568.213
2015-03-03,567.328,572.241,563.419,570.5
2015-03-04,568.74,573.952,564.901,570.232
2015-03-05,571.873,574.747,570.272,572.181
2015-03-06,571.734,573.524,563.658,564.578
2015-03-09,563.758,567.149,560.451,565.737
2015-03-10,561.162,561.759,551.694,551.972
2015-03-11,552.102,555.085,547.666,548.163
2015-03-12,550.481,553.325,547.447,552.47
2015-03-13,550.471,555.344,541.242,544.325
2015-03-16,547.935,553.802,543.012,551.475
2015-03-17,548.691,550.769,545.001,547.825
2015-03-18,549.476,556.716,544.006,556.438
2015-03-19,556.328,557.731,553.101,554.936
2015-03-20,558.576,558.646,555.99,557.293
2015-03-23,557.363,559.282,552.788,555.752
2015-03-24,559.481,571.445,558.139,567.069
2015-03-25,567.378,569.128,555.682,555.727
2015-03-26,554.538,555.841,547.636,552.132
2015-03-27,549.973,552.241,545.13,545.339
2015-03-30,548.601,550.441,545.17,549.009
2015-03-31,546.99,551.674,543.728,545.001
2015-04-01,545.598,548.124,536.547,539.591
2015-04-02,537.89,537.89,530.925,532.599
2015-04-06,529.307,535.463,526.672,533.827
2015-04-07,535.135,539.72,533.067,534.081
2015-04-08,535.433,540.874,535.433,538.646
2015-04-09,538.069,538.984,532.559,537.82
2015-04-10,539.322,539.322,534.369,537.055
2015-04-13,535.463,541.082,534.369,536.219
2015-04-14,533.315,534.628,525.202,527.487
2015-04-15,525.809,531.806,520.359,529.618
2015-04-16,527.0,532.659,526.711,530.879
2015-04-17,525.767,526.94,518.159,521.182
2015-04-20,522.723,533.156,521.629,532.45
2015-04-21,534.571,536.44,530.757,531.05
2015-04-22,531.475,538.119,528.84,536.413
2015-04-23,538.039,547.945,537.273,544.006
2015-04-24,563.002,568.014,554.2,561.967
2015-04-27,563.39,565.95,553.2,555.37
2015-04-28,554.64,556.02,550.366,553.68
2015-04-29,550.47,553.68,546.905,549.08
2015-04-30,547.87,548.59,535.05,537.34
2015-05-01,538.43,539.54,532.1,537.9
2015-05-04,538.53,544.07,535.06,540.78
2015-05-05,538.21,539.74,530.391,530.8
2015-05-06,531.24,532.38,521.085,524.22
2015-05-07,523.99,533.46,521.75,530.7
2015-05-08,536.65,541.15,525.0,538.22
2015-05-11,538.37,541.98,535.4,535.7
2015-05-12,531.6,533.209,525.26,529.04
2015-05-13,530.56,534.322,528.655,529.62
2015-05-14,533.77,539.0,532.41,538.4
2015-05-15,539.18,539.274,530.38,533.85
2015-05-18,532.01,534.82,528.85,532.3
